Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,vodafone.it,iOS,Venice,catalogue.bib.uottawa.ca,0,5,19,"2,589"
1,shawcable.net,iOS,Alberta,(direct),0,9,28,843
1,algonquincollege.com,iOS,Ontario,(direct),0,9,23,"2,130"
1,unknown.unknown,iOS,Ontario,bing,0,9,47,"2,294"
1,bell.ca,iOS,Ontario,ovidsp.tx.ovid.com,0,9,19,42
1,ottawaheart.ca,iOS,Ontario,ovidsp.tx.ovid.com,0,9,19,47
1,ottawahospital.on.ca,iOS,Ontario,ovidsp.tx.ovid.com,0,9,19,117
1,dsl4u.ca,iOS,Ontario,uottawa.ca,0,9,23,159
1,distributel.net,iOS,Quebec,(direct),0,19,37,66
1,singnet.com.sg,iOS,,grad.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,,med.uottawa.ca,5,5,5,0
1,telus.com,iOS,Alberta,writingcentre.uottawa.ca,5,5,5,0
1,shawcable.net,iOS,British Columbia,(direct),5,5,5,0
1,shawcable.net,iOS,British Columbia,google,5,5,5,0
1,telus.net,iOS,British Columbia,uottawa.ca,5,5,5,0
1,grouptelecom.net,iOS,British Columbia,uottawa.ca.libguides.com,5,5,5,0
1,belgacom.be,iOS,Brussels,(direct),5,5,5,0
1,comcast.net,iOS,California,search,5,5,5,0
1,btcentralplus.com,iOS,England,search,5,5,5,0
1,virginmedia.com,iOS,England,writingcentre.uottawa.ca,5,5,5,0
1,proxad.net,iOS,Ile-de-France,uottawa.ca,5,5,5,0
1,wheelingparkdistrict.com,iOS,Illinois,search,5,5,5,0
1,k12.in.us,iOS,Indiana,writingcentre.uottawa.ca,5,5,5,0
1,myfairpoint.net,iOS,Maine,(direct),5,5,5,0
1,mtsallstream.net,iOS,Manitoba,search,5,5,5,0
1,sbcglobal.net,iOS,Michigan,(direct),5,5,5,0
1,verizon.net,iOS,New Jersey,google,5,5,5,0
1,unknown.unknown,iOS,New York,(direct),5,5,5,0
1,verizon.net,iOS,New York,google,5,5,5,0
1,verizon.net,iOS,New York,uottawa.ca.libguides.com,5,5,5,0
1,rogers.com,iOS,Newfoundland and Labrador,uottawa.ca,5,5,5,0
1,acndigital.net,iOS,Ontario,(direct),5,5,5,0
1,dsl4u.ca,iOS,Ontario,(direct),5,5,5,0
1,innovativeinsurance.ca,iOS,Ontario,(direct),5,5,5,0
1,jmccentre.ca,iOS,Ontario,(direct),5,5,5,0
1,onlink.net,iOS,Ontario,(direct),5,5,5,0
1,ontarioeast.net,iOS,Ontario,(direct),5,5,5,0
1,ottawaheart.ca,iOS,Ontario,(direct),5,5,5,0
1,tbaytel.net,iOS,Ontario,(direct),5,5,5,0
1,tvdsb.on.ca,iOS,Ontario,(direct),5,5,5,0
1,velcom.ca,iOS,Ontario,(direct),5,5,5,0
1,uottawa.ca,iOS,Ontario,admission.uottawa.ca,5,5,5,0
1,bell.ca,iOS,Ontario,altitude.uottawa.ca,5,5,5,0
1,rogers.com,iOS,Ontario,alumni.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Ontario,alumni.uottawa.ca,5,5,5,0
1,cgocable.net,iOS,Ontario,catalogue.bib.uottawa.ca,5,5,5,0
1,wind.ca,iOS,Ontario,catalogue.bib.uottawa.ca,5,5,5,0
1,rogers.com,iOS,Ontario,chemistry.uottawa.ca,5,5,5,0
1,unknown.unknown,iOS,Ontario,doc-depot.management.uottawa.ca,5,5,5,0
